theme,prompt,done
和服美人ｘ猫ｘいつでも使える,"P1: ACTION/PROPS=""A beautiful woman in a kimono with a cat nodding yes"" | TEXT=""はい"" P2: ACTION/PROPS=""A beautiful woman in a kimono with a cat shaking head no"" | TEXT=""いいえ"" P3: ACTION/PROPS=""A beautiful woman in a kimono with a cat making OK sign"" | TEXT=""OK"" P4: ACTION/PROPS=""A beautiful woman in a kimono with a cat making X sign"" | TEXT=""NG"" P5: ACTION/PROPS=""A beautiful woman in a kimono with a cat giving a salute"" | TEXT=""了解です"" P6: ACTION/PROPS=""A beautiful woman in a kimono with a cat bowing slightly acknowledging"" | TEXT=""承知しました"" P7: ACTION/PROPS=""A beautiful woman in a kimono with a cat looking at notebook"" | TEXT=""確認します"" P8: ACTION/PROPS=""A beautiful woman in a kimono with a cat peeking behind wall"" | TEXT=""チラッ"" P9: ACTION/PROPS=""A beautiful woman in a kimono with a cat staring intently"" | TEXT=""ジーッ""",
和服美人ｘ猫ｘいつでも使える,"P1: ACTION/PROPS=""A beautiful woman in a kimono with a cat holding a big question mark"" | TEXT=""はてな"" P2: ACTION/PROPS=""A beautiful woman in a kimono with a cat raising hand enthusiastically"" | TEXT=""質問"" P3: ACTION/PROPS=""A beautiful woman in a kimono with a cat clapping hands together"" | TEXT=""ひらめいた"" P4: ACTION/PROPS=""A beautiful woman in a kimono with a cat pointing finger confidently"" | TEXT=""それだ"" P5: ACTION/PROPS=""A beautiful woman in a kimono with a cat holding head thinking"" | TEXT=""うーん"" P6: ACTION/PROPS=""A beautiful woman in a kimono with a cat shrugging playfully"" | TEXT=""まあいっか"" P7: ACTION/PROPS=""A beautiful woman in a kimono with a cat looking disappointed"" | TEXT=""ざんねん"" P8: ACTION/PROPS=""A beautiful woman in a kimono with a cat cheering with hands up"" | TEXT=""イェーイ"" P9: ACTION/PROPS=""A beautiful woman in a kimono with a cat doing a small dance"" | TEXT=""ルンルン""",
和服美人ｘ猫ｘいつでも使える,"P1: ACTION/PROPS=""A beautiful woman in a kimono with a cat running fast"" | TEXT=""ダッシュ"" P2: ACTION/PROPS=""A beautiful woman in a kimono with a cat panting wiping sweat"" | TEXT=""ぜえぜえ"" P3: ACTION/PROPS=""A beautiful woman in a kimono with a cat typing fast on computer"" | TEXT=""カタカタ"" P4: ACTION/PROPS=""A beautiful woman in a kimono with a cat holding a stopwatch"" | TEXT=""あせあせ"" P5: ACTION/PROPS=""A beautiful woman in a kimono with a cat giving a thumbs up casually"" | TEXT=""おつ"" P6: ACTION/PROPS=""A beautiful woman in a kimono with a cat drinking water"" | TEXT=""ごくごく"" P7: ACTION/PROPS=""A beautiful woman in a kimono with a cat stretching arms"" | TEXT=""のびー"" P8: ACTION/PROPS=""A beautiful woman in a kimono with a cat yawning lazily"" | TEXT=""ふぁー"" P9: ACTION/PROPS=""A beautiful woman in a kimono with a cat sleeping peacefully"" | TEXT=""すやすや""",
和服美人ｘ猫ｘいつでも使える,"P1: ACTION/PROPS=""A beautiful woman in a kimono with a cat holding a smartphone turning away"" | TEXT=""既読"" P2: ACTION/PROPS=""A beautiful woman in a kimono with a cat typing on phone smiling"" | TEXT=""返信"" P3: ACTION/PROPS=""A beautiful woman in a kimono with a cat looking at watch"" | TEXT=""時間だよ"" P4: ACTION/PROPS=""A beautiful woman in a kimono with a cat pointing at clock"" | TEXT=""いまどこ"" P5: ACTION/PROPS=""A beautiful woman in a kimono with a cat holding a calendar"" | TEXT=""予定は？"" P6: ACTION/PROPS=""A beautiful woman in a kimono with a cat holding money"" | TEXT=""お金"" P7: ACTION/PROPS=""A beautiful woman in a kimono with a cat holding a bag"" | TEXT=""買い物"" P8: ACTION/PROPS=""A beautiful woman in a kimono with a cat holding a steering wheel"" | TEXT=""運転中"" P9: ACTION/PROPS=""A beautiful woman in a kimono with a cat holding a train ticket"" | TEXT=""電車乗る""",
和服美人ｘ猫ｘいつでも使える,"P1: ACTION/PROPS=""A beautiful woman in a kimono with a cat looking lonely"" | TEXT=""ぽつん"" P2: ACTION/PROPS=""A beautiful woman in a kimono with a cat hugging knees"" | TEXT=""さみしい"" P3: ACTION/PROPS=""A beautiful woman in a kimono with a cat pouting lips"" | TEXT=""むっ"" P4: ACTION/PROPS=""A beautiful woman in a kimono with a cat puffing cheeks"" | TEXT=""ぷんぷん"" P5: ACTION/PROPS=""A beautiful woman in a kimono with a cat crying rivers"" | TEXT=""ぴえん"" P6: ACTION/PROPS=""A beautiful woman in a kimono with a cat laughing hysterically"" | TEXT=""爆笑"" P7: ACTION/PROPS=""A beautiful woman in a kimono with a cat smiling mysteriously"" | TEXT=""ふふっ"" P8: ACTION/PROPS=""A beautiful woman in a kimono with a cat smiling warmly gentle"" | TEXT=""ニコニコ"" P9: ACTION/PROPS=""A beautiful woman in a kimono with a cat winking eye"" | TEXT=""ウインク""",
和服美人ｘ猫ｘいつでも使える,"P1: ACTION/PROPS=""A beautiful woman in a kimono with a cat holding a blank signboard"" | TEXT=""無地"" P2: ACTION/PROPS=""A beautiful woman in a kimono with a cat pointing up"" | TEXT=""上"" P3: ACTION/PROPS=""A beautiful woman in a kimono with a cat pointing down"" | TEXT=""下"" P4: ACTION/PROPS=""A beautiful woman in a kimono with a cat pointing right"" | TEXT=""右"" P5: ACTION/PROPS=""A beautiful woman in a kimono with a cat pointing left"" | TEXT=""左"" P6: ACTION/PROPS=""A beautiful woman in a kimono with a cat holding a megaphone"" | TEXT=""注目"" P7: ACTION/PROPS=""A beautiful woman in a kimono with a cat hands together begging"" | TEXT=""プリーズ"" P8: ACTION/PROPS=""A beautiful woman in a kimono with a cat hands crossed blocking"" | TEXT=""ブッブー"" P9: ACTION/PROPS=""A beautiful woman in a kimono with a cat hands making a circle"" | TEXT=""ピンポーン""",
和服美人ｘ猫ｘスタンダードあいさつ,"P1: ACTION/PROPS=""A beautiful woman in a kimono with a cat waking up stretching"" | TEXT=""おはよう"" P2: ACTION/PROPS=""A beautiful woman in a kimono with a cat bowing politely"" | TEXT=""こんにちは"" P3: ACTION/PROPS=""A beautiful woman in a kimono with a cat looking at the moon"" | TEXT=""こんばんは"" P4: ACTION/PROPS=""A beautiful woman in a kimono with a cat presenting a gift smiling"" | TEXT=""ありがとう"" P5: ACTION/PROPS=""A beautiful woman in a kimono with a cat bowing deeply sincerely"" | TEXT=""ごめんなさい"" P6: ACTION/PROPS=""A beautiful woman in a kimono with a cat offering hands gently"" | TEXT=""よろしく"" P7: ACTION/PROPS=""A beautiful woman in a kimono with a cat wiping sweat smiling"" | TEXT=""おつかれさま"" P8: ACTION/PROPS=""A beautiful woman in a kimono with a cat tying shoes looking back"" | TEXT=""いってきます"" P9: ACTION/PROPS=""A beautiful woman in a kimono with a cat opening door happily"" | TEXT=""ただいま""",
和服美人ｘ猫ｘスタンダードあいさつ,"P1: ACTION/PROPS=""A beautiful woman in a kimono with a cat raising hand cheerfully"" | TEXT=""はーい"" P2: ACTION/PROPS=""A beautiful woman in a kimono with a cat giving a thumbs up"" | TEXT=""いいね"" P3: ACTION/PROPS=""A beautiful woman in a kimono with a cat making an OK sign"" | TEXT=""オッケー"" P4: ACTION/PROPS=""A beautiful woman in a kimono with a cat nodding with understanding"" | TEXT=""なるほど"" P5: ACTION/PROPS=""A beautiful woman in a kimono with a cat tilting head in thought"" | TEXT=""えっと"" P6: ACTION/PROPS=""A beautiful woman in a kimono with a cat nodding continuously"" | TEXT=""ふむふむ"" P7: ACTION/PROPS=""A beautiful woman in a kimono with a cat looking convinced"" | TEXT=""そうなんだ"" P8: ACTION/PROPS=""A beautiful woman in a kimono with a cat pointing finger agreeing"" | TEXT=""わかる"" P9: ACTION/PROPS=""A beautiful woman in a kimono with a cat pointing directly"" | TEXT=""それな""",
和服美人ｘ猫ｘスタンダードあいさつ,"P1: ACTION/PROPS=""A beautiful woman in a kimono with a cat sleeping in futon"" | TEXT=""おやすみ"" P2: ACTION/PROPS=""A beautiful woman in a kimono with a cat waving hand gently"" | TEXT=""またね"" P3: ACTION/PROPS=""A beautiful woman in a kimono with a cat waving both hands"" | TEXT=""ばいばい"" P4: ACTION/PROPS=""A beautiful woman in a kimono with a cat seeing someone off"" | TEXT=""いってらっしゃい"" P5: ACTION/PROPS=""A beautiful woman in a kimono with a cat welcoming someone warmly"" | TEXT=""おかえり"" P6: ACTION/PROPS=""A beautiful woman in a kimono with a cat stepping inside softly"" | TEXT=""おじゃまします"" P7: ACTION/PROPS=""A beautiful woman in a kimono with a cat holding chopsticks eagerly"" | TEXT=""いただきます"" P8: ACTION/PROPS=""A beautiful woman in a kimono with a cat rubbing belly satisfied"" | TEXT=""ごちそうさま"" P9: ACTION/PROPS=""A beautiful woman in a kimono with a cat smiling elegantly"" | TEXT=""どういたしまして""",
和服美人ｘ猫ｘスタンダードあいさつ,"P1: ACTION/PROPS=""A beautiful woman in a kimono with a cat jumping up joyfully"" | TEXT=""わーい"" P2: ACTION/PROPS=""A beautiful woman in a kimono with a cat raising fists in victory"" | TEXT=""やったー"" P3: ACTION/PROPS=""A beautiful woman in a kimono with a cat clasping hands happily"" | TEXT=""うれしい"" P4: ACTION/PROPS=""A beautiful woman in a kimono with a cat eyes sparkling"" | TEXT=""たのしみ"" P5: ACTION/PROPS=""A beautiful woman in a kimono with a cat clapping hands celebrating"" | TEXT=""おめでとう"" P6: ACTION/PROPS=""A beautiful woman in a kimono with a cat looking impressed"" | TEXT=""すごい"" P7: ACTION/PROPS=""A beautiful woman in a kimono with a cat thumbs up winking"" | TEXT=""さすが"" P8: ACTION/PROPS=""A beautiful woman in a kimono with a cat holding tea cups together"" | TEXT=""かんぱい"" P9: ACTION/PROPS=""A beautiful woman in a kimono with a cat presenting a cake"" | TEXT=""お祝い""",
和服美人ｘ猫ｘスタンダードあいさつ,"P1: ACTION/PROPS=""A beautiful woman in a kimono with a cat looking surprised round eyes"" | TEXT=""えっ"" P2: ACTION/PROPS=""A beautiful woman in a kimono with a cat leaning forward interested"" | TEXT=""ほんと？"" P3: ACTION/PROPS=""A beautiful woman in a kimono with a cat startled jumping back"" | TEXT=""びっくり"" P4: ACTION/PROPS=""A beautiful woman in a kimono with a cat tilting head slightly"" | TEXT=""なんだって"" P5: ACTION/PROPS=""A beautiful woman in a kimono with a cat eyes wide open shocked"" | TEXT=""まじで"" P6: ACTION/PROPS=""A beautiful woman in a kimono with a cat trembling slightly scared"" | TEXT=""ひえー"" P7: ACTION/PROPS=""A beautiful woman in a kimono with a cat covering mouth in disbelief"" | TEXT=""うそでしょ"" P8: ACTION/PROPS=""A beautiful woman in a kimono with a cat pale face dropping shoulders"" | TEXT=""がーん"" P9: ACTION/PROPS=""A beautiful woman in a kimono with a cat crying out loud"" | TEXT=""ショック""",
